time,x,y,z
1391868043281,0.935255110263824,4.90664672851562,7.55643653869629
1391868043320,-1.95987439155579,5.00409412384033,9.45029830932617
1391868043360,-2.93120455741882,0.952918410301208,13.5692825317383
1391868043402,1.3946498632431,2.6080265045166,7.98409700393677
1391868043442,1.14347219467163,0.136965185403824,6.889573097229
1391868043481,3.00904273986816,3.19585418701172,6.05460929870605
1391868043521,2.72672963142395,2.19428706169128,8.99165153503418
1391868043560,3.4390983581543,1.70345759391785,8.14171886444092
1391868043600,5.15468072891235,4.49380493164062,7.12024354934692
1391868043641,-1.87859344482422,3.39748477935791,8.15998077392578
1391868043681,-0.161514133214951,6.94076681137085,4.76189756393433
1391868043720,0.370030522346497,2.20386695861816,9.73814964294434
1391868043761,-1.26307344436646,2.75172781944275,6.8344874382019
1391868043801,-2.27257418632507,1.69028508663177,10.3828582763672
1391868043840,-1.69642221927643,3.58833789825439,11.7800531387329
1391868043879,-4.29262351989746,6.52717685699463,9.80116844177246
1391868043889,-1.4614109992981,4.00102996826172,6.35129261016846
1391868043918,-2.28035807609558,2.13501024246216,8.5955753326416
1391868043941,-2.55683302879333,0.783171415328979,9.34880924224854
1391868043979,-2.0680992603302,2.14234495162964,10.3017272949219
1391868044001,-0.867146730422974,4.84018468856812,6.04218530654907
1391868044040,-1.50392258167267,2.62928247451782,12.9055624008179
1391868044080,-0.855770409107208,3.08283925056458,10.2382593154907
1391868044118,-2.73915386199951,5.75912380218506,4.38917255401611
1391868044128,1.60032212734222,-1.40378081798553,14.4370279312134
1391868044161,-0.712967395782471,-1.60421407222748,11.0305614471436
1391868044198,0.499660938978195,2.42899894714355,14.4629240036011
1391868044219,-1.2699590921402,8.63838672637939,7.86135244369507
1391868044228,4.23484373092651,0.553099811077118,8.72385883331299
1391868044258,3.91915011405945,3.19016599655151,8.40816497802734
1391868044269,0.744252324104309,-1.8062938451767,15.5655317306519
1391868044297,2.04534673690796,1.75824368000031,9.33578586578369
1391868044318,2.71460485458374,2.8108549118042,8.80678653717041
1391868044329,1.95283901691437,3.95956611633301,9.0944881439209
1391868044358,1.30498623847961,6.04248476028442,9.29746627807617
1391868044392,1.51245486736298,3.02850222587585,9.95444965362549
1391868044418,0.224233701825142,2.92297172546387,8.07211399078369
1391868044441,2.81639337539673,-3.85074234008789,14.1395969390869
1391868044479,-0.157771915197372,4.56984710693359,7.22771978378296
1391868044489,3.84744930267334,1.98636937141418,3.15543818473816
1391868044519,2.64125752449036,3.57082438468933,8.74676132202148
1391868044530,1.60256743431091,7.22098398208618,1.86916303634644
1391868044559,5.25781631469727,-1.45751905441284,8.86291980743408
1391868044569,2.94976592063904,4.24711799621582,4.581223487854
1391868044599,2.31598377227783,2.65517854690552,9.61300945281982
1391868044609,2.61042165756226,2.17707276344299,6.82700300216675
1391868044639,1.32249987125397,-0.039667509496212,10.0036973953247
1391868044649,1.81542479991913,0.0526904314756393,10.5386848449707
1391868044679,3.18492698669434,0.826281726360321,4.08919668197632
1391868044699,3.94804000854492,1.46081221103668,11.469898223877
1391868044711,2.74169850349426,2.20147204399109,8.24245929718018
1391868044739,1.02746343612671,1.5675402879715,10.9039249420166
1391868044750,0.843495965003967,6.67821264266968,3.0834379196167
1391868044782,2.88809418678284,2.84692978858948,8.05654621124268
1391868044823,1.38731503486633,3.12415337562561,8.52402400970459
1391868044859,3.27578806877136,3.41589665412903,11.8712139129639
1391868044869,1.66783177852631,4.56281137466431,9.22426795959473
1391868044902,0.218844905495644,0.0205073542892933,9.7233304977417
1391868044939,0.0235011298209429,-0.928968191146851,13.3417558670044
1391868044950,-0.697699129581451,1.97439420223236,11.4324760437012
1391868044979,-0.76790314912796,2.18395853042603,9.09538650512695
1391868044988,-1.41800129413605,2.54021763801575,10.7534875869751
