time,longitude,latitude,speed,bearing,accuracy
1385835727480,7.58810065,50.34390196,1.75,16.8,5.0
1385835727480,7.58810065,50.34390196,1.75,16.8,5.0
1385835726836,7.58809391,50.34388501,2.0,18.6,5.0
1385835726836,7.58809391,50.34388501,2.0,18.6,5.0
1385835725564,7.5880853,50.34386771,1.0,44.8,5.0
1385835725564,7.5880853,50.34386771,1.0,44.8,5.0
1385835724600,7.58807164,50.34385689,2.304886,24.2,5.0
1385835724600,7.58807164,50.34385689,2.304886,24.2,5.0
1385835715409,7.58789269,50.34376524,2.9261749,9.5,7.0
1385835715409,7.58789269,50.34376524,2.9261749,9.5,7.0
1385835709698,7.58781753,50.34360938,1.25,20.7,8.0
1385835709698,7.58781753,50.34360938,1.25,20.7,8.0
1385835709021,7.58780493,50.34359241,1.25,17.0,8.0
1385835709021,7.58780493,50.34359241,1.25,17.0,8.0
1385835705153,7.58777574,50.34354366,1.118034,43.7,9.0
1385835704678,7.58776634,50.34353738,1.118034,43.7,6.0
1385835704678,7.58776634,50.34353738,1.118034,43.7,6.0
1385835689941,7.58773755,50.3433342,0.559017,119.0,6.0
1385835689941,7.58773755,50.3433342,0.559017,119.0,6.0
1385835689741,7.5875404,50.3430916,,,52.0
1385835689741,7.5875404,50.3430916,,,52.0
1385835688935,7.58773932,50.34332323,0.559017,119.0,7.0
1385835688935,7.58773932,50.34332323,0.559017,119.0,7.0
1385835687943,7.58775183,50.34331004,1.0,,6.0
1385835687943,7.58775183,50.34331004,1.0,,6.0
1385835687035,7.58773396,50.34330341,1.5,,7.0
1385835687035,7.58773396,50.34330341,1.5,,7.0
1385835679622,7.58749006,50.34337136,0.0,,5.0
1385835677451,7.5874381,50.34337483,0.0,,5.0
1385835676502,7.58741038,50.34336604,0.70710677,341.3,5.0
1385835676502,7.58741038,50.34336604,0.70710677,341.3,5.0
1385835663517,7.58749965,50.3431583,0.559017,310.8,4.0
1385835663517,7.58749965,50.3431583,0.559017,310.8,4.0
1385835654567,7.58757128,50.34316197,1.118034,1.5,8.0
1385835654567,7.58757128,50.34316197,1.118034,1.5,8.0
1385835654019,7.58758752,50.34315278,1.3462912,357.4,9.0
1385835654019,7.58758752,50.34315278,1.3462912,357.4,9.0
1385835652505,7.58760298,50.3431432,1.8027756,358.7,10.0
1385835652505,7.58760298,50.3431432,1.8027756,358.7,10.0
1385835647714,7.58764569,50.34310355,1.677051,44.1,12.0
1385835647714,7.58764569,50.34310355,1.677051,44.1,12.0
1385835644720,7.588217,50.3427886,,,77.0
1385835644720,7.588217,50.3427886,,,77.0
