time,longitude,latitude,speed,bearing,accuracy
1385902118925,7.59372906,50.34484076,0.75,69.0,6.0
1385902118925,7.59372906,50.34484076,0.75,69.0,6.0
1385902161039,7.59429872,50.34517954,1.0,64.5,6.0
1385902161039,7.59429872,50.34517954,1.0,64.5,6.0
1385902161956,7.59431298,50.34518593,1.0,63.0,6.0
1385902161956,7.59431298,50.34518593,1.0,63.0,6.0
1385902162958,7.59432788,50.34519315,1.0,62.7,6.0
1385902162958,7.59432788,50.34519315,1.0,62.7,6.0
1385902164178,7.59434576,50.34519783,1.0,75.3,6.0
1385902164178,7.59434576,50.34519783,1.0,75.3,6.0
1385902173560,7.59448206,50.34522965,1.0,58.5,5.0
1385902173560,7.59448206,50.34522965,1.0,58.5,5.0
1385902184577,7.5946362,50.34535766,0.5,61.2,5.0
1385902184577,7.5946362,50.34535766,0.5,61.2,5.0
1385902205551,7.59499854,50.34565406,1.5,48.2,5.0
1385902205551,7.59499854,50.34565406,1.5,48.2,5.0
1385902207468,7.59504587,50.34569033,0.9013878,49.2,4.0
1385902207468,7.59504587,50.34569033,0.9013878,49.2,4.0
1385902208435,7.59506194,50.34570466,1.9525625,30.8,4.0
1385902208435,7.59506194,50.34570466,1.9525625,30.8,4.0
1385902228435,7.59557156,50.34597708,2.0,52.4,7.0
1385902228435,7.59557156,50.34597708,2.0,52.4,7.0
1385902238494,7.59567078,50.34603003,1.0,48.9,5.0
1385902238494,7.59567078,50.34603003,1.0,48.9,5.0
1385902239340,7.59568194,50.34603778,1.0,45.1,5.0
1385902249446,7.59569701,50.34610423,0.25,27.8,4.0
1385902249446,7.59569701,50.34610423,0.25,27.8,4.0
1385902251527,7.59570307,50.34610775,0.5,27.8,4.0
1385902251527,7.59570307,50.34610775,0.5,27.8,4.0
1385902252362,7.59570763,50.34610718,0.5,27.8,4.0
1385902252362,7.59570763,50.34610718,0.5,27.8,4.0
1385902253377,7.59571336,50.34611407,0.5,27.8,4.0
1385902253377,7.59571336,50.34611407,0.5,27.8,4.0
1385902260474,7.59578298,50.34618025,1.25,47.0,5.0
1385902260474,7.59578298,50.34618025,1.25,47.0,5.0
1385902271593,7.59593882,50.34637879,2.304886,26.7,3.0
1385902271593,7.59593882,50.34637879,2.304886,26.7,3.0
1385902282398,7.59596492,50.34643186,0.0,,4.0
1385902282398,7.59596492,50.34643186,0.0,,4.0
1385902296167,7.5960048,50.34647151,0.0,,4.0
1385902296167,7.5960048,50.34647151,0.0,,4.0
1385902297201,7.59601104,50.34647637,0.75,37.3,5.0
1385902297201,7.59601104,50.34647637,0.75,37.3,5.0
1385902297883,7.59601772,50.34648197,0.75,37.3,6.0
1385902297883,7.59601772,50.34648197,0.75,37.3,6.0
1385902299245,7.59603147,50.34649217,1.0,38.1,6.0
1385902299245,7.59603147,50.34649217,1.0,38.1,6.0
1385902307496,7.59616484,50.346631,1.5,19.4,5.0
1385902307496,7.59616484,50.346631,1.5,19.4,5.0
1385902317652,7.59636766,50.34680018,1.25,60.6,5.0
1385902317652,7.59636766,50.34680018,1.25,60.6,5.0
1385902328008,7.59655328,50.34685784,0.5,54.1,5.0
1385902328008,7.59655328,50.34685784,0.5,54.1,5.0
1385902341497,7.59676832,50.34702381,2.5,66.6,5.0
1385902341497,7.59676832,50.34702381,2.5,66.6,5.0
1385902342373,7.59680229,50.34704409,1.8200275,61.2,4.0
1385902342373,7.59680229,50.34704409,1.8200275,61.2,4.0
1385902343432,7.59683271,50.34705708,1.25,60.4,4.0
1385902343432,7.59683271,50.34705708,1.25,60.4,4.0
1385902349031,7.59691507,50.34711291,1.25,66.2,5.0
1385902349031,7.59691507,50.34711291,1.25,66.2,5.0
1385902359595,7.59699968,50.34722632,1.0,27.9,4.0
1385902359595,7.59699968,50.34722632,1.0,27.9,4.0
1385902370344,7.59708234,50.34736434,0.75,48.8,4.0
1385902370344,7.59708234,50.34736434,0.75,48.8,4.0
1385902381524,7.59724349,50.34746935,1.0,54.5,5.0
1385902381524,7.59724349,50.34746935,1.0,54.5,5.0
1385902386811,7.59734821,50.34751774,1.25,48.1,6.0
1385902386811,7.59734821,50.34751774,1.25,48.1,6.0
1385902387345,7.59737096,50.34753165,1.5,47.0,5.0
1385902387345,7.59737096,50.34753165,1.5,47.0,5.0
1385902388368,7.59740189,50.34754863,1.75,49.3,5.0
1385902388368,7.59740189,50.34754863,1.75,49.3,5.0
1385902392463,7.59746089,50.34758124,0.0,,5.0
1385902392463,7.59746089,50.34758124,0.0,,5.0
1385902421023,7.59781949,50.34786309,1.5,33.0,7.0
1385902425103,7.59784909,50.34792703,0.0,,4.0
1385902425103,7.59784909,50.34792703,0.0,,4.0
1385902431560,7.59800982,50.34800962,2.0,53.3,4.0
1385902432257,7.59803351,50.3480209,2.0,53.3,6.0
1385902432257,7.59803351,50.3480209,2.0,53.3,6.0
1385902436439,7.59808569,50.34807545,1.5,51.5,4.0
1385902436439,7.59808569,50.34807545,1.5,51.5,4.0
1385902452518,7.59849408,50.3483847,5.0990195,56.3,5.0
1385902452518,7.59849408,50.3483847,5.0990195,56.3,5.0
1385902464018,7.59850005,50.34850144,1.8200275,37.8,8.0
1385902464018,7.59850005,50.34850144,1.8200275,37.8,8.0
1385902476600,7.5983981,50.34860984,1.0,20.3,5.0
1385902476600,7.5983981,50.34860984,1.0,20.3,5.0
1385902477481,7.59839708,50.34862112,1.0,21.9,5.0
1385902477481,7.59839708,50.34862112,1.0,21.9,5.0
1385902478521,7.59840968,50.34863366,1.25,30.8,5.0
1385902478521,7.59840968,50.34863366,1.25,30.8,5.0
1385902503034,7.59868479,50.3489398,1.25,49.7,4.0
1385902512621,7.59882536,50.34894572,0.75,91.9,4.0
1385902521036,7.59888859,50.34899407,1.0,18.0,4.0
1385902521036,7.59888859,50.34899407,1.0,18.0,4.0
1385902521957,7.59888981,50.34900903,1.0,17.4,4.0
1385902521957,7.59888981,50.34900903,1.0,17.4,4.0
1385902522985,7.59889261,50.34902444,1.0,24.0,5.0
1385902522985,7.59889261,50.34902444,1.0,24.0,5.0
1385902523952,7.59889761,50.34903787,1.25,29.9,5.0
1385902523952,7.59889761,50.34903787,1.25,29.9,5.0
1385902538050,7.59901244,50.34917893,1.5,16.0,6.0
1385902538050,7.59901244,50.34917893,1.5,16.0,6.0
1385902543571,7.5990096,50.34929693,1.25,41.5,5.0
1385902543571,7.5990096,50.34929693,1.25,41.5,5.0
1385902544775,7.59900639,50.34931218,2.236068,6.6,4.0
1385902544775,7.59900639,50.34931218,2.236068,6.6,4.0
1385902545223,7.59900814,50.34932185,2.236068,6.6,5.0
1385902545223,7.59900814,50.34932185,2.236068,6.6,5.0
1385902546416,7.59901595,50.34933504,1.8027756,12.8,5.0
1385902546416,7.59901595,50.34933504,1.8027756,12.8,5.0
1385902548220,7.59902891,50.34936081,1.118034,14.0,6.0
1385902548220,7.59902891,50.34936081,1.118034,14.0,6.0
1385902549262,7.59904123,50.34937794,1.3462912,21.5,5.0
1385902549262,7.59904123,50.34937794,1.3462912,21.5,5.0
1385902550542,7.59904223,50.34940626,2.25,356.7,5.0
1385902550542,7.59904223,50.34940626,2.25,356.7,5.0
1385902559577,7.5991067,50.34956806,1.5,22.0,5.0
1385902559577,7.5991067,50.34956806,1.5,22.0,5.0
1385902560342,7.59911548,50.34958163,1.5,18.4,5.0
1385902560342,7.59911548,50.34958163,1.5,18.4,5.0
1385902566876,7.5992015,50.34963425,1.0,33.3,4.0
1385902566876,7.5992015,50.34963425,1.0,33.3,4.0
1385902567365,7.59921375,50.34963895,1.0,40.7,4.0
1385902567365,7.59921375,50.34963895,1.0,40.7,4.0
1385902568372,7.59922696,50.34964371,1.0,36.7,4.0
1385902568372,7.59922696,50.34964371,1.0,36.7,4.0
1385902569360,7.59923802,50.34964672,0.75,33.1,4.0
1385902569360,7.59923802,50.34964672,0.75,33.1,4.0
1385902570462,7.599248,50.34965143,0.75,25.0,4.0
1385902570462,7.599248,50.34965143,0.75,25.0,4.0
1385902571776,7.59926541,50.3496601,1.25,39.9,4.0
1385902571776,7.59926541,50.3496601,1.25,39.9,4.0
1385902572363,7.59927748,50.34966869,1.0,33.2,4.0
1385902572363,7.59927748,50.34966869,1.0,33.2,4.0
1385902573366,7.59928782,50.34967124,0.5,33.2,4.0
1385902573366,7.59928782,50.34967124,0.5,33.2,4.0
1385902576505,7.59932261,50.34969595,1.0,31.8,5.0
1385902576505,7.59932261,50.34969595,1.0,31.8,5.0
1385902577352,7.59933798,50.3497035,1.0,50.6,5.0
1385902577352,7.59933798,50.3497035,1.0,50.6,5.0
1385902578366,7.59934924,50.34971211,0.75,46.7,5.0
1385902578366,7.59934924,50.34971211,0.75,46.7,5.0
1385902579373,7.5993619,50.34971897,0.75,51.5,5.0
1385902579373,7.5993619,50.34971897,0.75,51.5,5.0
1385902580968,7.59937353,50.34972613,0.75,60.8,5.0
1385902580968,7.59937353,50.34972613,0.75,60.8,5.0
